LOCATION,TIME,Unemployment,CPI,P/E,Open,High,Low,Close,Industrial Production,Treasury,Crash,Reason
USA,1978-01,6.4,6.837607,8.28,93.82,95.15,88.02,89.25,47.8693,7.956190476,0,
USA,1978-02,6.3,6.42978,8.16,89.93,91.32,86.58,87.04,48.1283,8.033333333,0,
USA,1978-03,6.3,6.554622,8.13,87.19,91.35,86.45,89.21,49.0553,8.035909091,0,
USA,1978-04,6.1,6.5,8.41,88.46,97.91,88.07,96.83,50.026,8.154,0,
USA,1978-05,6,6.965174,8.75,97.67,100.32,94.57,97.24,50.2717,8.345714286,0,
USA,1978-06,5.9,7.413509,8.7,97.35,101.84,94.31,95.53,50.5939,8.462272727,0,
USA,1978-07,6.2,7.704918,8.57,95.09,100.68,93.59,100.68,50.5499,8.64,0,
USA,1978-08,5.9,7.843137,9.07,100.66,105.49,100.18,103.29,50.7622,8.410869565,0,
USA,1978-09,6,8.306189,8.98,103.68,108.05,100.94,102.54,50.8856,8.4165,0,
USA,1978-10,5.8,8.928572,8.51,102.96,106.23,91.65,93.15,51.2821,8.642380952,1,
USA,1978-11,5.9,8.885299,7.84,96.85,97.41,91.77,94.7,51.6737,8.805,0,
USA,1978-12,6,9.017714,7.79,96.28,98.58,92.64,96.11,51.9404,9.0065,0,
USA,1979-01,5.9,9.28,7.88,96.73,102.33,95.22,99.93,51.6507,9.099545455,0,
USA,1979-02,5.9,9.856915,7.57,99.96,100.52,95.38,96.28,51.9097,9.098333333,0,
USA,1979-03,5.8,10.09464,7.53,96.9,103.31,95.98,101.5,52.0667,9.117272727,0,
USA,1979-04,5.8,10.48513,7.55,100.9,103.95,100.14,101.75,51.4548,9.182,0,
USA,1979-05,5.6,10.85271,7.25,101.68,102.57,97.49,99.08,51.9061,9.252380952,0,
USA,1979-06,5.7,10.88957,7.27,99.17,103.67,98.57,102.91,51.9067,8.913809524,0,
USA,1979-07,5.7,11.26332,7.23,101.99,105.17,100.35,103.81,51.8258,8.95,0,
USA,1979-08,6,11.81818,7.45,104.17,109.84,103.14,109.32,51.49,9.029565217,0,
USA,1979-09,5.9,12.18045,7.42,107.22,110.51,105.38,109.32,51.4847,9.334736842,0,
USA,1979-10,6,12.07154,7.11,108.56,111.27,100,101.82,51.8421,10.29909091,1,
USA,1979-11,5.9,12.61128,7.01,102.57,106.81,99.87,106.16,51.7591,10.65315789,0,
USA,1979-12,6,13.29394,7.25,105.83,109.33,105.83,107.94,51.7974,10.386,0,
USA,1980-01,6.3,13.90922,7.39,105.76,115.2,105.22,115.12,52.0677,10.80227273,0,
USA,1980-02,6.3,14.18234,7.61,115.12,118.44,112.35,113.66,52.0899,12.41473684,1,
USA,1980-03,6.3,14.75645,6.85,112.5,112.78,98.22,102.09,51.8687,12.74904762,1,
USA,1980-04,6.9,14.73088,6.79,102.18,106.29,99.8,106.29,50.8454,11.47333333,0,
USA,1980-05,7.5,14.40559,7.15,105.46,112.71,104.72,111.24,49.5947,10.18142857,0,
USA,1980-06,7.6,14.38451,7.67,110.76,117.98,109.77,114.24,48.9621,9.778095238,0,
USA,1980-07,7.8,13.1327,8.07,114.93,123.93,113.54,121.67,48.609,10.24772727,0,
USA,1980-08,7.7,12.87263,8.38,121.21,129.61,119.42,122.38,48.7646,11.10190476,0,
USA,1980-09,7.5,12.60054,8.64,123.74,131.53,121.94,125.46,49.5764,11.50857143,0,
USA,1980-10,7.5,12.76596,8.86,127.13,135.08,125.15,127.47,50.2058,11.75136364,0,
USA,1980-11,7.5,12.64822,9.19,129.04,141.96,127.28,140.52,51.0418,12.68470588,0,
USA,1980-12,7.2,12.5163,9.01,137.21,140.66,125.32,135.76,51.3906,12.84409091,0,
USA,1981-01,7.5,11.82519,9.02,136.34,140.32,128.57,129.55,51.0656,12.56857143,0,
USA,1981-02,7.4,11.40684,8.76,126.91,132.02,124.66,131.27,50.8554,13.19444444,0,
USA,1981-03,7.4,10.48689,9.14,132.01,138.38,128.56,136,51.1107,13.11590909,0,
USA,1981-04,7.2,10,9.13,136.57,137.72,131.58,132.87,50.8864,13.67952381,0,
USA,1981-05,7.5,9.779951,8.86,132.72,134.92,128.78,132.59,51.1788,14.0995,0,
USA,1981-06,7.5,9.5526,8.81,132.41,135.67,128.77,131.21,51.4496,13.47227273,0,
USA,1981-07,7.2,10.76179,8.55,129.77,131.78,125.96,130.92,51.7764,14.28090909,0,
USA,1981-08,7.4,10.80432,8.54,130.48,135.18,122.29,122.79,51.7129,14.93714286,1,
USA,1981-09,7.6,10.95238,7.75,123.02,124.58,110.19,116.18,51.4605,15.32380952,1,
USA,1981-10,7.9,10.14151,7.83,117.08,129.14,115,121.89,51.0625,15.14809524,1,
USA,1981-11,8.3,9.590643,8.02,124.2,126.97,119.13,126.35,50.473,13.39277778,1,
USA,1981-12,8.5,8.922364,8.06,126.1,127.5,121.04,122.55,49.9364,13.72454545,1,
USA,1982-01,8.6,8.390804,7.73,122.74,123.72,113.63,120.4,48.9114,14.594,1,
USA,1982-02,8.9,7.622298,7.64,117.78,119.81,110.03,113.11,49.9102,14.42555556,1,
USA,1982-03,9,6.779661,7.48,113.31,114.8,106.17,111.96,49.5691,13.86130435,1,
USA,1982-04,9.3,6.50954,7.97,113.79,118.59,111.48,116.44,49.1146,13.87190476,1,
USA,1982-05,9.4,6.681514,8.09,116.81,120.55,111.19,111.88,48.7805,13.6225,1,
USA,1982-06,9.6,7.064018,7.74,111.68,113.05,106.33,109.61,48.6606,14.29954545,1,
USA,1982-07,9.8,6.441048,7.83,108.71,113.12,105.12,107.09,48.4863,13.94619048,1,
USA,1982-08,9.8,5.850488,7.97,108.98,120.45,101.44,119.51,48.0569,13.055,0,
USA,1982-09,10.1,5.042919,9.03,118.25,127.31,117.16,120.42,47.9303,12.33904762,0,
USA,1982-10,10.4,5.139186,10.01,121.97,144.38,119.13,133.71,47.4738,10.9065,0,
USA,1982-11,10.8,4.589114,10.67,135.47,144.16,132.09,138.54,47.32,10.55052632,0,
USA,1982-12,10.8,3.829787,11.03,138.72,144.65,133.76,140.64,46.9813,10.54,0,
USA,1983-01,10.4,3.711559,11.48,138.34,149.08,137.3,145.3,47.8523,10.45714286,0,
USA,1983-02,10.4,3.488372,11.75,142.96,151.81,141.95,148.06,47.5667,10.72473684,0,
USA,1983-03,10.3,3.597884,12.23,150.88,156.41,148.05,152.96,47.9599,10.50652174,0,
USA,1983-04,10.2,3.898841,12.64,153.02,165.39,149.46,164.42,48.5564,10.4,0,
USA,1983-05,10.1,3.549061,13.09,162.11,167.7,159.65,162.39,48.8647,10.38,0,
USA,1983-06,10.1,2.57732,13.22,162.55,172.76,159.97,168.11,49.1558,10.84863636,0,
USA,1983-07,9.4,2.461539,13.02,168.91,171.65,160.64,162.56,49.8873,11.377,0,
USA,1983-08,9.5,2.558854,12.43,162.04,166.65,157.62,164.04,50.4843,11.84608696,0,
USA,1983-09,9.2,2.860061,12.57,164.23,171.59,161.71,166.07,51.216,11.65380952,0,
USA,1983-10,8.8,2.851324,12.38,165.8,173.1,161.99,163.55,51.6139,11.541,0,
USA,1983-11,8.5,3.265306,11.98,163.64,169.06,160.6,166.4,51.842,11.69,0,
USA,1983-12,8.3,3.790984,11.72,166.49,167.85,160.61,164.93,52.0948,11.82952381,0,
USA,1984-01,8,4.192229,11.52,164.04,169.52,162.03,163.41,53.1348,11.67428571,1,
USA,1984-02,7.8,4.596527,10.59,162.74,164,152.13,157.06,53.3763,11.84210526,1,
USA,1984-03,7.8,4.800817,10.31,158.19,160.46,153.17,159.18,53.6314,12.31909091,0,
USA,1984-04,7.7,4.563895,10.12,157.98,169.59,154.12,160.05,53.9491,12.6335,0,
USA,1984-05,7.4,4.233871,9.86,161.68,162.11,148.68,150.55,54.2396,13.40863636,1,
USA,1984-06,7.2,4.221106,9.45,153.24,155.64,148.53,153.18,54.4288,13.56285714,0,
USA,1984-07,7.5,4.204204,9.26,153.2,158.58,147.26,150.66,54.5865,13.36238095,0,
USA,1984-08,7.5,4.291417,10,154.08,168.8,150.66,166.68,54.653,12.71608696,0,
USA,1984-09,7.3,4.270109,10.03,164.88,169.65,163.84,166.1,54.4949,12.52263158,0,
USA,1984-10,7.4,4.257426,9.94,164.62,169.62,160.02,166.09,54.4772,12.16045455,0,
USA,1984-11,7.2,4.051383,10.01,167.49,170.41,163.08,163.58,54.6594,11.57263158,0,
USA,1984-12,7.3,3.948667,9.89,162.82,169.24,161.44,167.24,54.6892,11.4995,0,
USA,1985-01,7.3,3.532875,10.36,165.37,180.27,163.43,179.63,54.6505,11.38428571,0,
USA,1985-02,7.2,3.515625,10.98,178.63,183.91,177.85,181.18,54.8169,11.50888889,0,
USA,1985-03,7.2,3.703704,10.95,183.23,183.86,176.53,180.66,54.8978,11.8552381,0,
USA,1985-04,7.3,3.685742,11.2,181.27,183.56,177.91,179.83,54.7833,11.4347619,0,
USA,1985-05,7.2,3.77176,11.65,178.37,189.97,178.39,189.55,54.8704,10.84681818,0,
USA,1985-06,7.4,3.760849,12.1,189.32,191.85,185.08,191.85,54.8401,10.156,0,
USA,1985-07,7.4,3.554275,12.43,192.43,196.03,189.31,190.92,54.5582,10.30681818,0,
USA,1985-08,7.1,3.349282,12.26,192.11,192.11,186.1,188.63,54.7381,10.33181818,0,
USA,1985-09,7.1,3.142857,12.09,187.91,188.75,179.54,182.08,54.9416,10.37315789,0,
USA,1985-10,7.1,3.22887,12.39,185.07,190.95,181.25,189.82,54.7538,10.23681818,0,
USA,1985-11,7,3.51377,13.33,191.53,203.3,189.41,202.17,54.939,9.781578947,0,
USA,1985-12,7,3.798671,14.19,200.46,213.02,200.11,211.28,55.4945,9.259047619,0,
USA,1986-01,6.7,3.886256,14.28,209.59,214.47,202.63,211.78,55.7802,9.193809524,0,
USA,1986-02,7.2,3.113208,15.08,213.96,227.92,210.92,226.92,55.3994,8.704210526,0,
USA,1986-03,7.2,2.255639,16,225.42,240.1,222.22,238.9,55.0001,7.7785,0,
USA,1986-04,7.1,1.590271,16.32,235.14,245.42,226.38,235.52,55.0641,7.299090909,0,
USA,1986-05,7.2,1.491146,16.28,235.16,249.1,232.26,247.35,55.1705,7.70952381,0,
USA,1986-06,7.2,1.765799,16.68,245.04,251.72,238.33,250.84,54.9588,7.79952381,0,
USA,1986-07,7,1.576994,16.28,252.04,253.2,233.09,236.12,55.2944,7.303181818,0,
USA,1986-08,6.9,1.574074,16.55,234.91,254.18,232.25,252.93,55.2029,7.165714286,0,
USA,1986-09,7,1.754386,16.05,248.52,254.1,228.16,231.32,55.3511,7.447619048,0,
USA,1986-10,7,1.471941,16.12,233.6,244.48,231.35,243.98,55.5857,7.426363636,0,
USA,1986-11,6.9,1.284404,16.78,245.8,249.22,235.54,249.22,55.803,7.250555556,0,
USA,1986-12,6.6,1.097896,17.17,249.05,254.85,241.28,242.17,56.3441,7.112727273,0,
USA,1987-01,6.6,1.459854,18.01,246.45,280.96,242.17,274.08,56.1259,7.0845,0,
USA,1987-02,6.6,2.1043,18.86,276.45,287.55,273.16,284.2,56.8779,7.250526316,0,
USA,1987-03,6.6,3.033088,19.37,283,302.72,282.3,291.7,56.9516,7.248636364,0,
USA,1987-04,6.3,3.775322,19.45,292.39,303.65,275.67,288.36,57.3177,8.022857143,0,
USA,1987-05,6.3,3.856749,19.74,288.03,298.69,277.01,290.1,57.6774,8.613,0,
USA,1987-06,6.2,3.652968,20.9,289.83,310.27,286.93,304,57.9875,8.402272727,0,
USA,1987-07,6.1,3.926941,20.81,302.94,318.85,302.53,318.66,58.379,8.446818182,0,
USA,1987-08,6,4.284412,21.42,317.57,337.89,314.51,329.8,58.8171,8.76047619,0,
USA,1987-09,5.9,4.355717,20.09,323.4,332.18,308.56,321.83,59.0391,9.421904762,1,
USA,1987-10,6,4.533092,17.08,327.33,328.94,221.39,251.79,59.834,9.52,1,
USA,1987-11,5.8,4.528986,14.45,255.75,257.21,225.78,230.3,60.1367,8.860526316,1,
USA,1987-12,5.7,4.434389,13.77,232,253.35,221.24,247.08,60.4739,8.987727273,0,
USA,1988-01,5.7,4.046762,14.02,255.94,261.78,240.17,257.07,60.4594,8.665789474,0,
USA,1988-02,5.7,3.942652,14.16,255.04,267.82,247.82,267.82,60.7643,8.212,0,
USA,1988-03,5.7,3.925067,14.29,267.22,272.64,256.07,258.89,60.8948,8.373478261,0,
USA,1988-04,5.4,3.90417,13.39,256.09,272.05,254.71,261.33,61.2475,8.7185,0,
USA,1988-05,5.6,3.890363,12.41,261.56,263.7,248.85,262.16,61.1353,9.089047619,0,
USA,1988-06,5.4,3.964758,12.49,266.69,276.88,262.1,273.5,61.2995,8.921363636,0,
USA,1988-07,5.4,4.130053,12.22,271.78,276.36,262.48,272.02,61.311,9.056,0,
USA,1988-08,5.6,4.020979,11.78,272.21,274.2,256.53,261.52,61.6234,9.260434783,0,
USA,1988-09,5.4,4.173913,11.79,258.35,274.87,256.98,271.91,61.4255,8.977142857,0,
USA,1988-10,5.4,4.249783,12.02,271.38,283.95,268.84,278.97,61.694,8.7955,0,
USA,1988-11,5.3,4.2461,11.57,279.06,280.37,262.85,273.7,61.8494,8.9625,0,
USA,1988-12,5.3,4.419411,11.64,272.49,280.45,270.47,277.72,62.1171,9.105714286,0,
USA,1989-01,5.4,4.667243,11.82,275.31,297.51,273.81,297.47,62.3103,9.0915,0,
USA,1989-02,5.2,4.827586,11.97,297.09,300.57,286.26,288.86,62.0353,9.168947368,0,
USA,1989-03,5,4.978541,11.73,287.11,299.99,286.46,294.87,62.195,9.357727273,0,
USA,1989-04,5.2,5.123826,12.07,296.39,310.45,294.35,309.64,62.1753,9.1755,0,
USA,1989-05,5.2,5.361702,12.49,309.12,323.06,304.06,320.52,61.8321,8.859090909,0,
USA,1989-06,5.3,5.169491,12.84,321.97,329.19,314.38,317.98,61.8246,8.277272727,0,
USA,1989-07,5.2,4.978903,13.43,319.23,346.08,317.26,346.08,61.2285,8.0185,0,
USA,1989-08,5.2,4.705883,14.32,343.75,352.73,339,351.45,61.8334,8.112608696,0,
USA,1989-09,5.3,4.340568,14.66,353.73,354.13,341.37,349.15,61.6221,8.1905,0,
USA,1989-10,5.3,4.492513,14.84,350.87,360.44,327.12,340.36,61.5537,8.007619048,0,
USA,1989-11,5.4,4.655029,14.7,341.2,346.5,330.91,345.99,61.7575,7.874285714,0,
USA,1989-12,5.4,4.647303,15.24,350.63,354.1,339.63,353.4,62.1111,7.836,0,
USA,1990-01,5.4,5.202312,15.13,359.69,360.59,319.83,329.08,61.7781,8.206666667,0,
USA,1990-02,5.3,5.263158,14.97,328.79,336.09,322.1,331.89,62.3426,8.473157895,0,
USA,1990-03,5.2,5.233034,15.62,332.74,344.49,331.08,339.94,62.6446,8.588636364,0,
USA,1990-04,5.4,4.711617,15.7,338.7,347.3,327.76,330.8,62.5104,8.7855,0,
USA,1990-05,5.4,4.361874,16.37,332.25,362.26,330.8,361.23,62.6898,8.758181818,0,
USA,1990-06,5.2,4.67365,16.95,363.16,368.78,351.23,358.02,62.8923,8.48,0,
USA,1990-07,5.5,4.823151,16.81,359.54,369.78,350.09,356.15,62.7933,8.471428571,1,
USA,1990-08,5.7,5.617978,15.33,355.52,357.35,306.18,322.56,63.0241,8.752608696,1,
USA,1990-09,5.9,6.16,14.51,323.09,326.53,295.98,306.05,63.0328,8.893157895,1,
USA,1990-10,5.9,6.289809,14.21,314.94,319.69,294.51,304,62.6466,8.719545455,1,
USA,1990-11,6.2,6.274821,14.68,307.02,323.02,301.61,322.22,61.8681,8.392,0,
USA,1990-12,6.3,6.106265,15.41,324.1,333.98,321.97,330.22,61.4345,8.075,0,
USA,1991-01,6.4,5.651491,15.35,326.45,343.93,309.35,343.93,61.2241,8.091904762,0,
USA,1991-02,6.6,5.3125,17.19,343.05,370.96,340.37,367.07,60.779,7.854736842,0,
USA,1991-03,6.8,4.895105,17.78,370.47,379.66,363.73,375.22,60.4377,8.11,0,
USA,1991-04,6.7,4.88751,18.58,371.3,391.26,370.27,375.35,60.5982,8.039090909,0,
USA,1991-05,6.9,4.95356,18.98,380.29,389.85,365.83,389.83,61.2041,8.067727273,0,
USA,1991-06,6.9,4.69592,19.49,388.06,389.83,367.98,371.16,61.6923,8.284,0,
USA,1991-07,6.8,4.447853,20.14,377.92,387.81,370.92,387.81,61.8569,8.272727273,0,
USA,1991-08,6.9,3.799392,21.22,387.12,396.82,374.09,395.43,61.8681,7.9,0,
USA,1991-09,6.9,3.391108,21.73,392.15,397.62,382.77,387.86,62.3855,7.65,0,
USA,1991-10,7,2.921348,22.49,389.2,393.81,376.11,392.46,62.3229,7.527272727,0,
USA,1991-11,7,2.989537,23.27,391.32,398.22,371.63,375.22,62.2427,7.417368421,0,
USA,1991-12,7.3,3.064275,24.33,381.4,418.32,371.36,417.09,61.9705,7.088571429,0,
USA,1992-01,7.3,2.600297,25.93,417.26,421.18,408.64,408.79,61.6471,7.032380952,0,
USA,1992-02,7.4,2.818991,25.6,409.53,418.08,406.34,412.7,62.0794,7.337894737,0,
USA,1992-03,7.4,3.185185,25.16,412.45,413.78,401.94,403.69,62.5955,7.542272727,0,
USA,1992-04,7.4,3.180473,24.73,404.23,416.28,392.41,414.95,63.0726,7.48047619,0,
USA,1992-05,7.6,3.023599,24.75,412.53,418.75,409.85,415.35,63.2761,7.392,0,
USA,1992-06,7.8,3.088235,23.95,417.3,417.3,399.92,408.14,63.3102,7.261818182,0,
USA,1992-07,7.7,3.157122,23.88,412.88,424.8,407.2,424.21,63.8769,6.844545455,0,
USA,1992-08,7.6,3.147877,23.6,425.09,425.14,408.3,414.03,63.5221,6.585714286,0,
USA,1992-09,7.6,2.988338,23.2,416.07,425.27,412.71,417.8,63.7217,6.415238095,0,
USA,1992-10,7.3,3.202329,22.43,416.29,421.16,396.8,418.68,64.1556,6.589047619,0,
USA,1992-11,7.4,3.047895,22.56,422.75,431.93,415.58,431.35,64.4144,6.873157895,0,
USA,1992-12,7.4,2.900653,22.82,430.78,442.65,428.61,435.71,64.5161,6.77,0,
USA,1993-01,7.3,3.258508,22.5,435.38,442.66,426.88,438.78,64.7738,6.6,0,
USA,1993-02,7.1,3.246753,22.55,442.52,450.04,428.25,443.38,65.0805,6.258947368,0,
USA,1993-03,7,3.086863,22.69,442.01,456.76,441.07,451.67,65.0176,5.975217391,0,
