LOCATION,TIME,Unemployment,CPI,P/E,Open,High,Low,Close
USA,1978-01,6.4,6.837607,8.28,93.82,95.15,88.02,89.25
USA,1978-02,6.3,6.42978,8.16,89.93,91.32,86.58,87.04
USA,1978-03,6.3,6.554622,8.13,87.19,91.35,86.45,89.21
USA,1978-04,6.1,6.5,8.41,88.46,97.91,88.07,96.83
USA,1978-05,6,6.965174,8.75,97.67,100.32,94.57,97.24
USA,1978-06,5.9,7.413509,8.7,97.35,101.84,94.31,95.53
USA,1978-07,6.2,7.704918,8.57,95.09,100.68,93.59,100.68
USA,1978-08,5.9,7.843137,9.07,100.66,105.49,100.18,103.29
USA,1978-09,6,8.306189,8.98,103.68,108.05,100.94,102.54
USA,1978-10,5.8,8.928572,8.51,102.96,106.23,91.65,93.15
USA,1978-11,5.9,8.885299,7.84,96.85,97.41,91.77,94.7
USA,1978-12,6,9.017714,7.79,96.28,98.58,92.64,96.11
USA,1979-01,5.9,9.28,7.88,96.73,102.33,95.22,99.93
USA,1979-02,5.9,9.856915,7.57,99.96,100.52,95.38,96.28
USA,1979-03,5.8,10.09464,7.53,96.9,103.31,95.98,101.5
USA,1979-04,5.8,10.48513,7.55,100.9,103.95,100.14,101.75
USA,1979-05,5.6,10.85271,7.25,101.68,102.57,97.49,99.08
USA,1979-06,5.7,10.88957,7.27,99.17,103.67,98.57,102.91
USA,1979-07,5.7,11.26332,7.23,101.99,105.17,100.35,103.81
USA,1979-08,6,11.81818,7.45,104.17,109.84,103.14,109.32
USA,1979-09,5.9,12.18045,7.42,107.22,110.51,105.38,109.32
USA,1979-10,6,12.07154,7.11,108.56,111.27,100,101.82
USA,1979-11,5.9,12.61128,7.01,102.57,106.81,99.87,106.16
USA,1979-12,6,13.29394,7.25,105.83,109.33,105.83,107.94
USA,1980-01,6.3,13.90922,7.39,105.76,115.2,105.22,115.12
USA,1980-02,6.3,14.18234,7.61,115.12,118.44,112.35,113.66
USA,1980-03,6.3,14.75645,6.85,112.5,112.78,98.22,102.09
USA,1980-04,6.9,14.73088,6.79,102.18,106.29,99.8,106.29
USA,1980-05,7.5,14.40559,7.15,105.46,112.71,104.72,111.24
USA,1980-06,7.6,14.38451,7.67,110.76,117.98,109.77,114.24
USA,1980-07,7.8,13.1327,8.07,114.93,123.93,113.54,121.67
USA,1980-08,7.7,12.87263,8.38,121.21,129.61,119.42,122.38
USA,1980-09,7.5,12.60054,8.64,123.74,131.53,121.94,125.46
USA,1980-10,7.5,12.76596,8.86,127.13,135.08,125.15,127.47
USA,1980-11,7.5,12.64822,9.19,129.04,141.96,127.28,140.52
USA,1980-12,7.2,12.5163,9.01,137.21,140.66,125.32,135.76
USA,1981-01,7.5,11.82519,9.02,136.34,140.32,128.57,129.55
USA,1981-02,7.4,11.40684,8.76,126.91,132.02,124.66,131.27
USA,1981-03,7.4,10.48689,9.14,132.01,138.38,128.56,136
USA,1981-04,7.2,10,9.13,136.57,137.72,131.58,132.87
USA,1981-05,7.5,9.779951,8.86,132.72,134.92,128.78,132.59
USA,1981-06,7.5,9.5526,8.81,132.41,135.67,128.77,131.21
USA,1981-07,7.2,10.76179,8.55,129.77,131.78,125.96,130.92
USA,1981-08,7.4,10.80432,8.54,130.48,135.18,122.29,122.79
USA,1981-09,7.6,10.95238,7.75,123.02,124.58,110.19,116.18
USA,1981-10,7.9,10.14151,7.83,117.08,129.14,115,121.89
USA,1981-11,8.3,9.590643,8.02,124.2,126.97,119.13,126.35
USA,1981-12,8.5,8.922364,8.06,126.1,127.5,121.04,122.55
USA,1982-01,8.6,8.390804,7.73,122.74,123.72,113.63,120.4
USA,1982-02,8.9,7.622298,7.64,117.78,119.81,110.03,113.11
USA,1982-03,9,6.779661,7.48,113.31,114.8,106.17,111.96
USA,1982-04,9.3,6.50954,7.97,113.79,118.59,111.48,116.44
USA,1982-05,9.4,6.681514,8.09,116.81,120.55,111.19,111.88
USA,1982-06,9.6,7.064018,7.74,111.68,113.05,106.33,109.61
USA,1982-07,9.8,6.441048,7.83,108.71,113.12,105.12,107.09
USA,1982-08,9.8,5.850488,7.97,108.98,120.45,101.44,119.51
USA,1982-09,10.1,5.042919,9.03,118.25,127.31,117.16,120.42
USA,1982-10,10.4,5.139186,10.01,121.97,144.38,119.13,133.71
USA,1982-11,10.8,4.589114,10.67,135.47,144.16,132.09,138.54
USA,1982-12,10.8,3.829787,11.03,138.72,144.65,133.76,140.64
USA,1983-01,10.4,3.711559,11.48,138.34,149.08,137.3,145.3
USA,1983-02,10.4,3.488372,11.75,142.96,151.81,141.95,148.06
USA,1983-03,10.3,3.597884,12.23,150.88,156.41,148.05,152.96
USA,1983-04,10.2,3.898841,12.64,153.02,165.39,149.46,164.42
USA,1983-05,10.1,3.549061,13.09,162.11,167.7,159.65,162.39
USA,1983-06,10.1,2.57732,13.22,162.55,172.76,159.97,168.11
USA,1983-07,9.4,2.461539,13.02,168.91,171.65,160.64,162.56
USA,1983-08,9.5,2.558854,12.43,162.04,166.65,157.62,164.04
USA,1983-09,9.2,2.860061,12.57,164.23,171.59,161.71,166.07
USA,1983-10,8.8,2.851324,12.38,165.8,173.1,161.99,163.55
USA,1983-11,8.5,3.265306,11.98,163.64,169.06,160.6,166.4
USA,1983-12,8.3,3.790984,11.72,166.49,167.85,160.61,164.93
USA,1984-01,8,4.192229,11.52,164.04,169.52,162.03,163.41
USA,1984-02,7.8,4.596527,10.59,162.74,164,152.13,157.06
USA,1984-03,7.8,4.800817,10.31,158.19,160.46,153.17,159.18
USA,1984-04,7.7,4.563895,10.12,157.98,169.59,154.12,160.05
USA,1984-05,7.4,4.233871,9.86,161.68,162.11,148.68,150.55
USA,1984-06,7.2,4.221106,9.45,153.24,155.64,148.53,153.18
USA,1984-07,7.5,4.204204,9.26,153.2,158.58,147.26,150.66
USA,1984-08,7.5,4.291417,10,154.08,168.8,150.66,166.68
USA,1984-09,7.3,4.270109,10.03,164.88,169.65,163.84,166.1
USA,1984-10,7.4,4.257426,9.94,164.62,169.62,160.02,166.09
USA,1984-11,7.2,4.051383,10.01,167.49,170.41,163.08,163.58
USA,1984-12,7.3,3.948667,9.89,162.82,169.24,161.44,167.24
USA,1985-01,7.3,3.532875,10.36,165.37,180.27,163.43,179.63
USA,1985-02,7.2,3.515625,10.98,178.63,183.91,177.85,181.18
USA,1985-03,7.2,3.703704,10.95,183.23,183.86,176.53,180.66
USA,1985-04,7.3,3.685742,11.2,181.27,183.56,177.91,179.83
USA,1985-05,7.2,3.77176,11.65,178.37,189.97,178.39,189.55
USA,1985-06,7.4,3.760849,12.1,189.32,191.85,185.08,191.85
USA,1985-07,7.4,3.554275,12.43,192.43,196.03,189.31,190.92
USA,1985-08,7.1,3.349282,12.26,192.11,192.11,186.1,188.63
USA,1985-09,7.1,3.142857,12.09,187.91,188.75,179.54,182.08
USA,1985-10,7.1,3.22887,12.39,185.07,190.95,181.25,189.82
USA,1985-11,7,3.51377,13.33,191.53,203.3,189.41,202.17
USA,1985-12,7,3.798671,14.19,200.46,213.02,200.11,211.28
USA,1986-01,6.7,3.886256,14.28,209.59,214.47,202.63,211.78
USA,1986-02,7.2,3.113208,15.08,213.96,227.92,210.92,226.92
USA,1986-03,7.2,2.255639,16,225.42,240.1,222.22,238.9
USA,1986-04,7.1,1.590271,16.32,235.14,245.42,226.38,235.52
USA,1986-05,7.2,1.491146,16.28,235.16,249.1,232.26,247.35
USA,1986-06,7.2,1.765799,16.68,245.04,251.72,238.33,250.84
USA,1986-07,7,1.576994,16.28,252.04,253.2,233.09,236.12
USA,1986-08,6.9,1.574074,16.55,234.91,254.18,232.25,252.93
USA,1986-09,7,1.754386,16.05,248.52,254.1,228.16,231.32
USA,1986-10,7,1.471941,16.12,233.6,244.48,231.35,243.98
USA,1986-11,6.9,1.284404,16.78,245.8,249.22,235.54,249.22
USA,1986-12,6.6,1.097896,17.17,249.05,254.85,241.28,242.17
USA,1987-01,6.6,1.459854,18.01,246.45,280.96,242.17,274.08
USA,1987-02,6.6,2.1043,18.86,276.45,287.55,273.16,284.2
USA,1987-03,6.6,3.033088,19.37,283,302.72,282.3,291.7
USA,1987-04,6.3,3.775322,19.45,292.39,303.65,275.67,288.36
USA,1987-05,6.3,3.856749,19.74,288.03,298.69,277.01,290.1
USA,1987-06,6.2,3.652968,20.9,289.83,310.27,286.93,304
USA,1987-07,6.1,3.926941,20.81,302.94,318.85,302.53,318.66
USA,1987-08,6,4.284412,21.42,317.57,337.89,314.51,329.8
USA,1987-09,5.9,4.355717,20.09,323.4,332.18,308.56,321.83
USA,1987-10,6,4.533092,17.08,327.33,328.94,221.39,251.79
USA,1987-11,5.8,4.528986,14.45,255.75,257.21,225.78,230.3
USA,1987-12,5.7,4.434389,13.77,232,253.35,221.24,247.08
USA,1988-01,5.7,4.046762,14.02,255.94,261.78,240.17,257.07
USA,1988-02,5.7,3.942652,14.16,255.04,267.82,247.82,267.82
USA,1988-03,5.7,3.925067,14.29,267.22,272.64,256.07,258.89
USA,1988-04,5.4,3.90417,13.39,256.09,272.05,254.71,261.33
USA,1988-05,5.6,3.890363,12.41,261.56,263.7,248.85,262.16
USA,1988-06,5.4,3.964758,12.49,266.69,276.88,262.1,273.5
USA,1988-07,5.4,4.130053,12.22,271.78,276.36,262.48,272.02
USA,1988-08,5.6,4.020979,11.78,272.21,274.2,256.53,261.52
USA,1988-09,5.4,4.173913,11.79,258.35,274.87,256.98,271.91
USA,1988-10,5.4,4.249783,12.02,271.38,283.95,268.84,278.97
USA,1988-11,5.3,4.2461,11.57,279.06,280.37,262.85,273.7
USA,1988-12,5.3,4.419411,11.64,272.49,280.45,270.47,277.72
USA,1989-01,5.4,4.667243,11.82,275.31,297.51,273.81,297.47
USA,1989-02,5.2,4.827586,11.97,297.09,300.57,286.26,288.86
USA,1989-03,5,4.978541,11.73,287.11,299.99,286.46,294.87
USA,1989-04,5.2,5.123826,12.07,296.39,310.45,294.35,309.64
USA,1989-05,5.2,5.361702,12.49,309.12,323.06,304.06,320.52
USA,1989-06,5.3,5.169491,12.84,321.97,329.19,314.38,317.98
USA,1989-07,5.2,4.978903,13.43,319.23,346.08,317.26,346.08
USA,1989-08,5.2,4.705883,14.32,343.75,352.73,339,351.45
USA,1989-09,5.3,4.340568,14.66,353.73,354.13,341.37,349.15
USA,1989-10,5.3,4.492513,14.84,350.87,360.44,327.12,340.36
USA,1989-11,5.4,4.655029,14.7,341.2,346.5,330.91,345.99
USA,1989-12,5.4,4.647303,15.24,350.63,354.1,339.63,353.4
USA,1990-01,5.4,5.202312,15.13,359.69,360.59,319.83,329.08
USA,1990-02,5.3,5.263158,14.97,328.79,336.09,322.1,331.89
USA,1990-03,5.2,5.233034,15.62,332.74,344.49,331.08,339.94
USA,1990-04,5.4,4.711617,15.7,338.7,347.3,327.76,330.8
USA,1990-05,5.4,4.361874,16.37,332.25,362.26,330.8,361.23
USA,1990-06,5.2,4.67365,16.95,363.16,368.78,351.23,358.02
USA,1990-07,5.5,4.823151,16.81,359.54,369.78,350.09,356.15
USA,1990-08,5.7,5.617978,15.33,355.52,357.35,306.18,322.56
USA,1990-09,5.9,6.16,14.51,323.09,326.53,295.98,306.05
USA,1990-10,5.9,6.289809,14.21,314.94,319.69,294.51,304
USA,1990-11,6.2,6.274821,14.68,307.02,323.02,301.61,322.22
USA,1990-12,6.3,6.106265,15.41,324.1,333.98,321.97,330.22
USA,1991-01,6.4,5.651491,15.35,326.45,343.93,309.35,343.93
USA,1991-02,6.6,5.3125,17.19,343.05,370.96,340.37,367.07
USA,1991-03,6.8,4.895105,17.78,370.47,379.66,363.73,375.22
USA,1991-04,6.7,4.88751,18.58,371.3,391.26,370.27,375.35
USA,1991-05,6.9,4.95356,18.98,380.29,389.85,365.83,389.83
USA,1991-06,6.9,4.69592,19.49,388.06,389.83,367.98,371.16
USA,1991-07,6.8,4.447853,20.14,377.92,387.81,370.92,387.81
USA,1991-08,6.9,3.799392,21.22,387.12,396.82,374.09,395.43
USA,1991-09,6.9,3.391108,21.73,392.15,397.62,382.77,387.86
USA,1991-10,7,2.921348,22.49,389.2,393.81,376.11,392.46
USA,1991-11,7,2.989537,23.27,391.32,398.22,371.63,375.22
USA,1991-12,7.3,3.064275,24.33,381.4,418.32,371.36,417.09
USA,1992-01,7.3,2.600297,25.93,417.26,421.18,408.64,408.79
USA,1992-02,7.4,2.818991,25.6,409.53,418.08,406.34,412.7
USA,1992-03,7.4,3.185185,25.16,412.45,413.78,401.94,403.69
USA,1992-04,7.4,3.180473,24.73,404.23,416.28,392.41,414.95
USA,1992-05,7.6,3.023599,24.75,412.53,418.75,409.85,415.35
USA,1992-06,7.8,3.088235,23.95,417.3,417.3,399.92,408.14
USA,1992-07,7.7,3.157122,23.88,412.88,424.8,407.2,424.21
USA,1992-08,7.6,3.147877,23.6,425.09,425.14,408.3,414.03
USA,1992-09,7.6,2.988338,23.2,416.07,425.27,412.71,417.8
USA,1992-10,7.3,3.202329,22.43,416.29,421.16,396.8,418.68
USA,1992-11,7.4,3.047895,22.56,422.75,431.93,415.58,431.35
USA,1992-12,7.4,2.900653,22.82,430.78,442.65,428.61,435.71
USA,1993-01,7.3,3.258508,22.5,435.38,442.66,426.88,438.78
USA,1993-02,7.1,3.246753,22.55,442.52,450.04,428.25,443.38
USA,1993-03,7,3.086863,22.69,442.01,456.76,441.07,451.67
USA,1993-04,7.1,3.225806,22.53,450.3,452.63,432.3,440.19
USA,1993-05,7.1,3.221188,22.83,442.46,454.55,436.86,450.19
USA,1993-06,7,2.99572,23.18,453.83,455.63,442.5,450.53
USA,1993-07,6.9,2.775801,22.72,449.02,451.15,441.4,448.13
USA,1993-08,6.8,2.76792,22.65,450.15,463.56,446.94,463.56
USA,1993-09,6.7,2.689313,22.5,463.15,463.8,449.64,458.93
USA,1993-10,6.8,2.750353,22.19,461.29,471.1,456.4,467.83
USA,1993-11,6.6,2.676056,21.63,469.1,469.11,454.36,461.79
USA,1993-12,6.5,2.748414,21.29,461.89,471.29,461.45,466.45
USA,1994-01,6.6,2.524544,21.34,465.44,482.85,464.36,481.61
USA,1994-02,6.6,2.515723,21.02,479.62,482.23,464.26,467.14
USA,1994-03,6.5,2.506964,20.42,464.44,471.09,436.16,445.77
USA,1994-04,6.4,2.361111,19,438.92,452.79,435.86,450.91
USA,1994-05,6.1,2.288488,18.5,453.02,457.77,440.78,456.5
USA,1994-06,6.1,2.493075,18.05,457.63,463.23,439.83,444.27
USA,1994-07,6.1,2.770083,17.42,446.2,459.33,443.58,458.26
USA,1994-08,6,2.900553,17.44,461.01,477.59,456.08,475.49
USA,1994-09,5.9,2.963474,17.09,473.17,475.49,458.47,462.69
USA,1994-10,5.8,2.608099,16.32,461.74,474.74,449.27,472.35
USA,1994-11,5.6,2.674897,15.62,468.42,472.35,444.18,453.69
USA,1994-12,5.5,2.674897,14.88,448.92,462.73,442.88,459.27
USA,1995-01,5.6,2.804378,14.89,459.11,471.36,457.2,470.42
USA,1995-02,5.4,2.862986,15.11,470.4,489.19,469.29,487.39
USA,1995-03,5.4,2.853261,15.15,485.65,508.15,479.7,500.71
USA,1995-04,5.8,3.052917,15.31,501.85,515.29,500.2,514.71
USA,1995-05,5.6,3.186441,15.5,514.26,533.41,513.03,533.4
USA,1995-06,5.6,3.04054,15.67,533.49,551.07,526,544.75
USA,1995-07,5.7,2.762803,16.07,547.09,565.4,542.51,562.06
USA,1995-08,5.7,2.61745,16.01,559.64,565.62,553.04,561.88
USA,1995-09,5.6,2.543507,16.45,563.84,587.61,561.01,584.41
USA,1995-10,5.5,2.809365,16.76,581.72,590.66,571.55,581.5
USA,1995-11,5.6,2.60521,17.33,584.22,608.69,581.04,605.37
USA,1995-12,5.6,2.53841,18.1,606.98,622.88,605.05,615.93
USA,1996-01,5.6,2.727878,18.08,620.73,636.18,597.29,636.02
USA,1996-02,5.5,2.650762,19.1,638.46,664.23,633.71,640.43
USA,1996-03,5.5,2.840158,19.01,644.37,656.97,627.63,645.5
USA,1996-04,5.6,2.896642,18.85,653.73,656.68,624.14,654.17
USA,1996-05,5.6,2.890933,19.1,654.58,681.1,630.07,669.12
USA,1996-06,5.3,2.754098,19.15,667.68,680.32,658.75,670.63
USA,1996-07,5.5,2.95082,18.26,675.88,675.88,605.88,639.95
USA,1996-08,5.1,2.877698,18.6,650.02,670.68,639.49,651.99
USA,1996-09,5.2,3.002611,18.75,654.72,690.88,643.97,687.31
USA,1996-10,5.2,2.992843,19,689.08,714.1,684.44,705.27
USA,1996-11,5.4,3.255208,19.45,703.77,762.12,701.3,757.02
USA,1996-12,5.4,3.322476,19.19,756.56,761.75,716.69,740.74
USA,1997-01,5.3,3.044041,19.53,737.01,794.67,729.55,786.16
USA,1997-02,5.2,3.034216,20.09,786.73,817.68,773.43,790.82
USA,1997-03,5.2,2.761721,19.69,795.31,814.9,756.13,757.12
USA,1997-04,5.1,2.495202,18.94,759.64,804.13,733.54,801.34
USA,1997-05,4.9,2.234994,20.6,798.53,851.87,793.21,848.28
USA,1997-06,5,2.297384,21.61,846.36,902.09,838.82,885.14
USA,1997-07,4.9,2.229299,22.8,891.03,957.73,884.54,954.29
USA,1997-08,4.8,2.225048,22.83,947.14,964.17,893.34,899.47
USA,1997-09,4.9,2.154626,23.06,927.58,960.59,899.47,947.28
USA,1997-10,4.7,2.084649,23.58,955.41,983.12,855.27,914.62
USA,1997-11,4.6,1.828499,23.46,938.99,964.55,900.61,955.4
USA,1997-12,4.7,1.702396,24.23,974.78,986.25,924.92,970.43
USA,1998-01,4.6,1.571339,24.29,975.04,992.65,912.83,980.28
USA,1998-02,4.6,1.441103,25.85,1001.27,1051.66,980.28,1049.34
USA,1998-03,4.7,1.375,27.23,1047.7,1113.07,1030.87,1101.75
USA,1998-04,4.3,1.435705,28.26,1108.15,1132.98,1076.7,1111.75
USA,1998-05,4.4,1.686446,28.3,1121,1130.52,1074.39,1090.82
USA,1998-06,4.5,1.684342,28.44,1090.98,1145.15,1074.67,1133.84
USA,1998-07,4.5,1.682243,29.9,1148.56,1190.58,1114.3,1120.67
USA,1998-08,4.5,1.616915,28,1112.44,1121.79,957.28,957.28
USA,1998-09,4.6,1.488834,26.8,994.26,1066.11,939.98,1017.01
USA,1998-10,4.5,1.485149,27.2,986.39,1103.78,923.32,1098.67
USA,1998-11,4.4,1.547988,30.25,1111.6,1192.97,1098.67,1163.63
USA,1998-12,4.4,1.611903,31.56,1175.28,1244.93,1136.89,1229.23
USA,1999-01,4.3,1.670792,32.92,1228.1,1280.37,1205.46,1279.64
USA,1999-02,4.4,1.60593,32.67,1273,1283.84,1211.89,1238.33
USA,1999-03,4.2,1.726264,33.39,1236.16,1323.82,1216.03,1286.37
USA,1999-04,4.3,2.276923,34,1293.72,1371.56,1282.56,1335.18
USA,1999-05,4.2,2.088452,33.19,1354.63,1375.98,1277.31,1301.84
USA,1999-06,4.3,1.96319,32.24,1294.26,1372.93,1277.47,1372.71
USA,1999-07,4.3,2.144608,32.88,1380.96,1420.33,1328.49,1328.72
USA,1999-08,4.2,2.264382,30.89,1328.05,1382.84,1267.73,1320.41
USA,1999-09,4.2,2.628362,29.99,1331.07,1361.35,1256.26,1282.71
USA,1999-10,4.1,2.560976,28.66,1282.81,1373.17,1233.7,1362.93
USA,1999-11,4.1,2.621951,29.74,1354.12,1425.31,1346.41,1388.91
USA,1999-12,4,2.684564,29.66,1397.72,1473.13,1387.48,1469.25
USA,2000-01,4,2.738892,29.04,1455.22,1478,1350.14,1394.46
USA,2000-02,4.1,3.221884,27.76,1409.28,1444.38,1325.02,1366.42
USA,2000-03,4,3.757576,28.31,1379.19,1553.11,1346.5,1498.58
USA,2000-04,3.8,3.068592,28.5,1505.97,1527.11,1339.4,1452.43
USA,2000-05,4,3.188929,27.49,1468.25,1481.43,1361.2,1420.6
USA,2000-06,4,3.730445,28.16,1448.81,1488.98,1420.6,1454.6
USA,2000-07,4,3.659268,28.05,1469.54,1517.24,1414.16,1430.83
USA,2000-08,4.1,3.411131,27.97,1438.1,1525.3,1426.05,1517.68
USA,2000-09,3.9,3.454437,27.34,1520.77,1530.01,1419.54,1436.51
USA,2000-10,3.9,3.448276,26.5,1436.23,1454.82,1305.79,1429.4
USA,2000-11,3.9,3.446227,26.9,1421.22,1438.46,1294.9,1314.95
